,est,lower,upper,test.statistic,df,p.value,var,abs_PRCC_value
11,0.423030352,0.405266888,0.440793817,46.68147068,9998,0,N0,0.423030352
4,0.239911586,0.220880152,0.258943021,24.71043402,9998,6.62387094630636e-131,T_T,0.239911586
9,0.148790261,0.129404504,0.168176019,15.04500751,9998,1.33005037757345e-50,T_H,0.148790261
6,0.09378852,0.074270958,0.113306081,9.41943355,9998,5.53986696184873e-21,T_S,0.09378852
5,-0.089011053,-0.108537211,-0.069484895,-8.935684132,9998,4.76083065703338e-19,t_S,0.089011053
10,0.084470834,0.064936926,0.104004741,8.476534141,9998,2.64748316453051e-17,P_ppc,0.084470834
3,0.051832913,0.032255292,0.071410534,5.189749183,9998,2.1470957097023e-07,t_T,0.051832913
2,0.022559402,0.002960418,0.042158387,2.256288842,9998,0.024074057,T_F,0.022559402
8,-0.013082428,-0.032684724,0.006519868,-1.308223914,9998,0.190827448,T_T2,0.013082428
7,0.007150509,-0.012452964,0.026753981,0.714997623,9998,0.474627207,t_T2,0.007150509
1,-0.000412501,-0.020016473,0.019191471,-0.04124599,9998,0.967100614,t_F,0.000412501
