STorAT,ClosestSTorAT,lag,mumax,LOG10N0,LOG10Nmax,model_type,T0
ST_2,2,20.44728239,0.094281702,3.235182842,7.349169206,gompertz,-4.15
ST_6,6,20.88596809,0.098310344,2.968307199,7.81051003,gompertz,-4.15
ST_9,9,0,0.106559369,3.284588161,8.386424162,gompertz,-4.15
ST_13,13,25.23490032,0.100460176,3.099030754,9.065293009,gompertz,-4.15
ST_17,17,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,-4.15
ST_23,23,25.48103739,0.125469227,3.563943035,8.081082272,gompertz,-4.15
ST_24,24,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,-4.15
ST_36,36,0,0.113536407,2.680326023,9.044168475,gompertz,-4.15
ST_41,41,7.364984282,0.075206383,3.18387624,8.166450989,baranyi,-4.15
ST_48,48,34.86680698,0.081298374,2.905782476,8.513692169,baranyi,-4.15
ST_52,52,11.5949889,0.089485312,2.616115065,8.375487777,gompertz,-4.15
ST_56,56,11.16122172,0.121644917,3.526831884,8.236134538,baranyi,-4.15
ST_75,75,0,0.08496699,2.571297735,8.57168148,gompertz,-4.15
ST_81,81,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,-4.15
ST_92,92,12.30402019,0.133160379,2.769915239,8.888041363,gompertz,-4.15
ST_100,100,0.02055741,0.140732672,2.981276036,8.03616023,gompertz,-4.15
ST_102,102,0,0.058480483,3.16355178,7.815223927,gompertz,-4.15
ST_9_23,9_23,12.7405187,0.116014298,3.424265598,8.233753217,gompertz,-4.15
