RealST,ClosestST,STorAT
1,2,ST
1,2,ST
1,2,ST
1,2,ST
1,2,ST
1,2,ST
1,2,ST
10,24,ST
10,24,ST
10,24,ST
10,24,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
100,100,ST
101,102,ST
102,102,ST
105,6,ST
106,24,ST
106,24,ST
107,9,ST
108,24,ST
108,24,ST
109,41,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
11,13,ST
110,81,ST
110,81,ST
111,13,ST
112,52,ST
113,17,ST
114,81,ST
115,9,ST
116,6,ST
116,6,ST
117,6,ST
117,6,ST
119,100,ST
12,9,ST
120,36,ST
122,17,ST
125,2,ST
127,6,ST
127,6,ST
128,6,ST
128,6,ST
128,6,ST
129,52,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
13,13,ST
131,9,ST
132,9,ST
132,9,ST
133,81,ST
134,81,ST
135,81,ST
14,13,ST
14,13,ST
14,13,ST
141,81,ST
142,2,ST
143,56,ST
144,48,ST
145,17,ST
146,9_23,ST
146,9_23,ST
147,81,ST
148,9,ST
149,102,ST
15,52,ST
15,52,ST
150,102,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
16,9_23,ST
17,17,ST
17,17,ST
17,17,ST
17,17,ST
17,17,ST
17,17,ST
17,17,ST
18,17,ST
18,17,ST
19,102,ST
2,2,ST
2,2,ST
2,2,ST
2,2,ST
2,2,ST
2,2,ST
2,2,ST
2,2,ST
2,2,ST
2,2,ST
20,9,ST
20,9,ST
21,52,ST
21,52,ST
22,24,ST
22,24,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
23,23,ST
24,24,ST
24,24,ST
24,24,ST
24,24,ST
24,24,ST
3,102,ST
3,102,ST
3,102,ST
30,2,ST
30,2,ST
30,2,ST
33,9,ST
33,9,ST
33,9,ST
33,9,ST
33,9,ST
33,9,ST
33,9,ST
33,9,ST
34,17,ST
34,17,ST
35,9,ST
36,36,ST
36,36,ST
36,36,ST
36,36,ST
36,36,ST
36,36,ST
37,36,ST
38,36,ST
39,13,ST
4,102,ST
4,102,ST
4,102,ST
40,36,ST
41,41,ST
41,41,ST
41,41,ST
41,41,ST
41,41,ST
41,41,ST
41,41,ST
41,41,ST
41,41,ST
41,41,ST
43,102,ST
46,17,ST
47,92,ST
48,48,ST
49,48,ST
49,48,ST
5,17,ST
50,6,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
51,9,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
52,52,ST
53,48,ST
53,48,ST
54,102,ST
54,102,ST
54,102,ST
56,56,ST
56,56,ST
56,56,ST
56,56,ST
56,56,ST
56,56,ST
57,24,ST
59,9_23,ST
6,6,ST
6,6,ST
6,6,ST
6,6,ST
6,6,ST
6,6,ST
60,52,ST
60,52,ST
61,81,ST
61,81,ST
62,9,ST
62,9,ST
63,17,ST
64,23,ST
65,56,ST
65,56,ST
66,48,ST
67,13,ST
67,13,ST
67,13,ST
67,13,ST
67,13,ST
68,56,ST
68,56,ST
7,6,ST
70,2,ST
71,17,ST
71,17,ST
71,17,ST
71,17,ST
72,102,ST
73,9,ST
73,9,ST
74,81,ST
74,81,ST
75,75,ST
75,75,ST
75,75,ST
75,75,ST
76,102,ST
77,24,ST
78,24,ST
78,24,ST
78,24,ST
78,24,ST
78,24,ST
79,36,ST
8,24,ST
80,52,ST
81,81,ST
81,81,ST
81,81,ST
82,52,ST
82,52,ST
82,52,ST
82,52,ST
82,52,ST
83,9,ST
83,9,ST
83,9,ST
83,9,ST
84,81,ST
85,23,ST
85,23,ST
85,23,ST
85,23,ST
85,23,ST
85,23,ST
86,17,ST
87,13,ST
88,9,ST
89,75,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
9,9,ST
90,24,ST
91,36,ST
92,92,ST
93,48,ST
94,17,ST
95,23,ST
95,23,ST
96,36,ST
96,36,ST
97,9,ST
98,81,ST
99,36,ST
