RealAT,ClosestAT,STorAT
83,100,AT
184,100,AT
189,100,AT
111,100,AT
28,100,AT
28,100,AT
23,100,AT
23,100,AT
29,100,AT
29,100,AT
29,100,AT
345,100,AT
274,100,AT
338,100,AT
17,17,AT
17,17,AT
303,17,AT
303,17,AT
303,17,AT
299,17,AT
151,3,AT
151,3,AT
151,3,AT
342,3,AT
132,3,AT
132,3,AT
90,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
3,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
97,3,AT
340,340,AT
340,340,AT
170,179,AT
170,179,AT
170,179,AT
157,179,AT
157,179,AT
239,179,AT
239,179,AT
199,179,AT
199,179,AT
199,179,AT
199,179,AT
179,179,AT
179,179,AT
179,179,AT
179,179,AT
179,179,AT
179,179,AT
179,179,AT
179,179,AT
179,179,AT
179,179,AT
334,179,AT
139,15,AT
343,15,AT
343,15,AT
138,15,AT
138,15,AT
138,15,AT
138,15,AT
332,15,AT
77,45,AT
41,45,AT
168,45,AT
39,45,AT
39,45,AT
39,45,AT
163,45,AT
87,45,AT
87,45,AT
87,45,AT
87,45,AT
335,45,AT
336,45,AT
339,45,AT
349,45,AT
346,15,AT
19,15,AT
348,15,AT
36,15,AT
16,15,AT
2,15,AT
2,15,AT
2,15,AT
35,15,AT
35,15,AT
40,15,AT
40,15,AT
74,15,AT
74,15,AT
7,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
15,15,AT
50,15,AT
50,15,AT
50,15,AT
21,15,AT
21,15,AT
21,15,AT
21,15,AT
21,15,AT
13,15,AT
18,15,AT
27,15,AT
61,61,AT
61,61,AT
61,61,AT
