Isolate,Rep,LOG10N0,lag,mumax,LOG10Nmax
 R10-0701 ,1,3,8,0.10906,7.5
 R10-0701 ,2,3,8,0.10906,7.5
 R10-0701 ,3,3,8,0.10906,7.5
R10-0056,1,3,12,0.14487,8
R10-0056,2,3,12,0.14487,8
R10-0056,3,3,12,0.14487,8
R10-0084,1,3,8,0.09734,7.5
R10-0084,2,3,8,0.09734,7.5
R10-0084,3,3,8,0.09734,7.5
R10-0151,1,3,12,0.06847,7.5
R10-0151,2,3,12,0.06847,7.5
R10-0151,3,3,8,0.06657,7.5
R10-0531,1,3,12,0.07699,8
R10-0531,2,3,12,0.07699,8
R10-0531,3,3,12,0.07699,8
R10-0553,1,3,12,0.07546,7.5
R10-0553,2,3,12,0.07546,7.5
R10-0553,3,3,12,0.07546,7.5
R10-0908,1,3.5,24,0.05158,7.5
R10-0908,2,3.5,12,0.2063,7.5
R10-0908,3,3.5,12,0.08697,7.5
R10-0941,1,3,4,0.06724,8
R10-0941,2,3,4,0.06724,8
R10-0941,3,3,4,0.06724,8
R10-0990,1,3,24,0.08924,7.5
R10-0990,2,3,24,0.08924,7.5
R10-0990,3,3,24,0.08924,7.5
R10-1099,1,3,8,0.067439,8
R10-1099,2,3,8,0.067439,8
R10-1099,3,3,8,0.067439,8
R10-1113,1,3,12,0.07067,7.5
R10-1113,2,3,12,0.06839,7.5
R10-1113,3,3,12,0.06168,7.5
R10-1181,1,3,24,0.0757,7.5
R10-1181,2,3,24,0.0757,7.5
R10-1181,3,3,24,0.0757,7.5
R10-1344,1,3,12,0.09217,8
R10-1344,2,3,12,0.09217,8
R10-1344,3,3,12,0.09217,8
R10-1432,1,3.5,12,0.15084,7.5
R10-1432,2,3.5,12,0.15084,7.5
R10-1432,3,3.5,12,0.15084,7.5
R10-1587,1,4,8,0.060438,7.5
R10-1587,2,4,8,0.060438,7.5
R10-1587,3,4,8,0.060438,7.5
R10-2381,1,3,12,0.09265,7
R10-2381,2,3,12,0.09265,7
R10-2381,3,3,12,0.09265,7
R10-3286,1,3,12,0.11054,7.5
R10-3286,2,3,12,0.11054,7.5
R10-3286,3,3,12,0.06088,7.5
