,time,geormetric mean (log),median (log),arithmetic mean,arithmetic mean (log)
1,0,0.78,0.99,272.22,2.43
2,1,0.81,1.02,297.73,2.47
3,2,0.86,1.07,1200.03,3.08
4,3,0.95,1.17,44600.90,4.65
5,4,1.08,1.32,344818.24,5.54
6,5,1.17,1.37,982626.25,5.99
7,6,1.27,1.39,1630250.54,6.21
8,7,1.36,1.43,2319783.10,6.37
9,8,1.44,1.45,2852796.31,6.46
10,9,1.52,1.53,3271645.77,6.51
11,10,1.6,1.6,3735546.03,6.57
12,11,1.69,1.65,4223832.87,6.63
13,12,1.75,1.6,4792177.22,6.68
14,13,1.83,1.68,5425253.90,6.73
15,14,1.93,1.72,6021326.04,6.78
16,15,2.03,1.74,6626598.32,6.82
17,16,2.13,1.87,7294820.06,6.86
18,17,2.23,1.9,8000146.79,6.9
19,18,2.35,1.99,8718256.44,6.94
20,19,2.42,1.99,9428112.96,6.97
21,20,2.52,2.02,10109731.74,7
22,21,2.61,2.09,10768055.00,7.03
23,22,2.7,2.14,11415788.04,7.06
24,23,2.79,2.22,12065785.56,7.08
25,24,2.88,2.26,12710423.73,7.1
26,25,2.97,2.32,13322547.73,7.12
27,26,3.01,2.31,13882203.45,7.14
28,27,3.08,2.34,14396330.16,7.16
29,28,3.15,2.4,14882553.18,7.17
30,29,3.21,2.42,15354437.27,7.19
31,30,3.27,2.47,15819603.88,7.2
32,31,3.33,2.5,16276740.05,7.21
33,32,3.4,2.52,16734699.13,7.22
34,33,3.42,2.54,17194442.90,7.24
35,34,3.47,2.55,17650634.98,7.25
36,35,3.52,2.58,18103186.50,7.26
37,36,3.56,2.62,18549469.51,7.27
38,37,3.6,2.65,18985602.65,7.28
39,38,3.64,2.68,19413423.66,7.29
40,39,3.69,2.75,19836124.28,7.3
41,40,3.7,2.73,20254823.38,7.31
42,41,3.73,2.74,20671367.45,7.32
43,42,3.76,2.72,21087095.83,7.32
